"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"VX","SFO","LAX","JFK","11","7","31","7"
"B6","SFO","BOS","JFK","141","66","68","66"
"AA","SFO","MIA","JFK","-2","4","1","4"
"B6","SFO","FLL","JFK","25","-14","-4","-14"
"B6","SFO","FLL","JFK","25","-16","-5","-16"
"DL","SFO","ATL","JFK","0","-3","14","-3"
"DL","SFO","ATL","JFK","14","41","58","41"
"AA","SFO","MIA","JFK","-3","10","3","10"
"VX","SFO","LAX","JFK","-3","-23","4","-23"
"VX","SFO","LAX","JFK","0","-23","4","-23"
"B6","SFO","FLL","JFK","27","-5","10","-5"
"B6","SFO","FLL","JFK","27","30","37","30"
"AA","SFO","ORD","JFK","6","69","95","69"
"VX","SFO","LAX","JFK","0","1","3","1"
"DL","SFO","ATL","JFK","3","8","27","8"
"DL","SFO","ATL","JFK","3","148","172","148"
"AA","SFO","MIA","JFK","-8","-17","12","-17"
"VX","SFO","LAX","JFK","-3","-14","-1","-14"
"VX","SFO","LAX","JFK","38","6","16","6"
"VX","SFO","LAX","JFK","26","6","16","6"
"VX","SFO","LAS","JFK","20","-1","23","-1"
"VX","SFO","LAX","JFK","2","-10","26","-10"
"VX","SFO","LAS","JFK","-3","-1","23","-1"
"B6","SFO","BOS","JFK","33","1","2","1"
"AA","SFO","MIA","JFK","3","-20","-7","-20"
"B6","SFO","FLL","JFK","475","2","17","2"
"B6","SFO","FLL","JFK","475","-6","8","-6"
"DL","SFO","ATL","JFK","5","-7","9","-7"
"AA","SFO","ORD","JFK","-2","4","13","4"
"DL","SFO","ATL","JFK","-2","-20","0","-20"
"AA","SFO","MIA","JFK","-2","-5","-2","-5"
"VX","SFO","LAX","JFK","6","-38","-1","-38"
"DL","SFO","ATL","JFK","7","-16","-3","-16"
"DL","SFO","ATL","JFK","-6","-16","-3","-16"
"B6","SFO","FLL","JFK","-4","0","6","0"
"B6","SFO","FLL","JFK","-4","49","57","49"
"AA","SFO","ORD","JFK","-7","-35","-3","-35"
"VX","SFO","LAX","JFK","-4","-31","-2","-31"
"DL","SFO","ATL","JFK","-4","-16","3","-16"
"VX","SFO","LAX","JFK","29","122","145","122"
"AA","SFO","CLT","JFK","-2","24","2","24"
"AA","SFO","PHX","JFK","-4","0","1","0"
"AA","SFO","LAX","JFK","0","0","-5","0"
"AA","SFO","LAX","JFK","0","0","10","0"
"DL","SFO","LAX","JFK","114","22","35","22"
"AA","SFO","PHX","JFK","4","3","-1","3"
"DL","SFO","LAX","JFK","-4","22","35","22"
"AA","SFO","CLT","JFK","22","6","14","6"
"DL","SFO","LAX","JFK","-6","51","72","51"
"AA","SFO","PHX","JFK","3","11","9","11"
"DL","SFO","MSP","JFK","-2","57","69","57"
"AA","SFO","CLT","JFK","1","6","14","6"
"AS","SFO","SEA","JFK","0","-25","8","-25"
"AA","SFO","PHX","JFK","-4","-12","3","-12"
"B6","SFO","LAS","JFK","-10","6","0","6"
"DL","SFO","LAX","JFK","99","24","12","24"
"AS","SFO","SEA","JFK","-6","-25","8","-25"
"AA","SFO","LAX","JFK","-4","-4","7","-4"
"AA","SFO","LAX","JFK","-4","-11","-3","-11"
"DL","SFO","LAX","JFK","93","70","36","70"
"AA","SFO","CLT","JFK","5","-4","5","-4"
"AA","SFO","DFW","JFK","0","78","86","78"
"DL","SFO","LAX","JFK","-1","-31","6","-31"
"AA","SFO","PHX","JFK","-3","-16","-1","-16"
"AA","SFO","DFW","JFK","6","78","86","78"
"DL","SFO","LAX","JFK","-2","-11","-1","-11"
"B6","SFO","LAS","JFK","1","-33","-10","-33"
"AA","SFO","PHX","JFK","-5","-5","10","-5"
"DL","SFO","LAX","JFK","-4","16","-5","16"
"DL","SFO","LAX","JFK","-4","-33","-1","-33"
"AA","SFO","CLT","JFK","35","0","3","0"
"DL","SFO","LAX","JFK","13","-12","0","-12"
"AA","SFO","LAX","JFK","74","-15","-2","-15"
"AA","SFO","PHX","JFK","16","-15","3","-15"
"B6","SFO","LAS","JFK","-1","-11","-1","-11"
"DL","SFO","LAX","JFK","28","-26","-1","-26"
"AA","SFO","LAX","JFK","-3","-15","-2","-15"
"AA","SFO","LAX","JFK","10","-7","-4","-7"
"AA","SFO","CLT","JFK","-5","29","33","29"
"AA","SFO","CLT","JFK","-1","2","6","2"
"DL","SFO","LAX","JFK","10","-20","0","-20"
"AA","SFO","LAX","JFK","-3","-33","-3","-33"
"DL","SFO","LAX","JFK","-5","-19","3","-19"
"B6","SFO","LAS","JFK","2","-8","6","-8"
"DL","SFO","LAX","JFK","-3","-15","0","-15"
"DL","SFO","LAX","JFK","-3","-15","1","-15"
"AA","SFO","DFW","JFK","-2","-24","2","-24"
"AA","SFO","CLT","JFK","-3","49","51","49"
"AA","SFO","PHX","JFK","1","-26","-3","-26"
"AA","SFO","CLT","JFK","-3","19","7","19"
"DL","SFO","LAX","JFK","14","-4","22","-4"
"AA","SFO","LAX","JFK","-4","18","42","18"
"DL","SFO","SLC","JFK","295","-11","2","-11"
"B6","SFO","LAS","JFK","10","-15","6","-15"
"DL","SFO","LAX","JFK","11","15","35","15"
"AS","SFO","SEA","JFK","-6","-17","3","-17"
"AA","SFO","LAX","JFK","96","2","-5","2"
"AA","SFO","LAX","JFK","-1","2","-5","2"
"DL","SFO","LAX","JFK","374","-36","-3","-36"
"AA","SFO","CLT","JFK","-2","-5","-1","-5"
"AA","SFO","CLT","JFK","-5","24","27","24"
"AA","SFO","DFW","JFK","13","-13","-3","-13"
"DL","SFO","LAX","JFK","3","-27","7","-27"
"AA","SFO","PHX","JFK","-3","-27","2","-27"
"AA","SFO","LAX","JFK","-2","-36","3","-36"
"AA","SFO","LAX","JFK","-2","-19","-4","-19"
"AA","SFO","PHX","JFK","-7","15","31","15"
"DL","SFO","LAX","JFK","0","-36","0","-36"
"AA","SFO","DFW","JFK","-5","-19","-2","-19"
"AA","SFO","CLT","JFK","7","12","17","12"
"DL","SFO","LAX","JFK","72","-20","10","-20"
"AA","SFO","PHX","JFK","-7","4","41","4"
"B6","SFO","LAS","JFK","-1","179","215","179"
"AA","SFO","PHX","JFK","48","-4","28","-4"
"DL","SFO","LAX","JFK","79","2","42","2"
"AA","SFO","LAX","JFK","-5","-27","25","-27"
"AA","SFO","LAX","JFK","-5","4","21","4"
"AS","SFO","SEA","JFK","-2","86","111","86"
"AA","SFO","CLT","JFK","-1","-16","-5","-16"
"AA","SFO","CLT","JFK","8","-9","4","-9"
"AA","SFO","DFW","JFK","5","-32","-1","-32"
"AA","SFO","PHX","JFK","-6","3","58","3"
"DL","SFO","LAX","JFK","-1","-16","29","-16"
"B6","SFO","LAS","JFK","-8","-37","0","-37"
"AA","SFO","PHX","JFK","-4","-5","38","-5"
"DL","SFO","LAX","JFK","46","-38","-1","-38"
"AA","SFO","DFW","JFK","-4","-10","1","-10"
"AA","SFO","CLT","JFK","3","1","3","1"
"DL","SFO","LAX","JFK","-9","-38","-1","-38"
"AA","SFO","PHX","JFK","-3","-41","1","-41"
"AS","SFO","SEA","JFK","88","-30","-8","-30"
"B6","SFO","LAS","JFK","12","-35","-5","-35"
"AA","SFO","ORD","JFK","-5","-16","0","-16"
"VX","SFO","LAX","JFK","24","2","20","2"
"VX","SFO","LAX","JFK","42","2","20","2"
"VX","SFO","LAX","JFK","35","-2","5","-2"
"VX","SFO","LAX","JFK","78","14","28","14"
"VX","SFO","LAX","JFK","34","14","28","14"
"B6","SFO","BOS","JFK","76","-7","0","-7"
"AA","SFO","MIA","JFK","4","-5","-7","-5"
"DL","SFO","ATL","JFK","68","-18","0","-18"
"B6","SFO","FLL","JFK","178","22","6","22"
"DL","SFO","ATL","JFK","14","-18","0","-18"
"AA","SFO","ORD","JFK","0","-9","2","-9"
"DL","SFO","ATL","JFK","6","-28","0","-28"
"AA","SFO","MIA","JFK","19","3","-3","3"
"VX","SFO","LAX","JFK","-3","-3","8","-3"
"DL","SFO","ATL","JFK","-2","-14","0","-14"
"VX","SFO","LAX","JFK","0","-3","8","-3"
"B6","SFO","BOS","JFK","-3","-8","1","-8"
"DL","SFO","ATL","JFK","8","-14","0","-14"
"AA","SFO","ORD","JFK","18","21","23","21"
"AA","SFO","MIA","JFK","-2","-11","12","-11"
"VX","SFO","LAX","JFK","-1","-5","-7","-5"
"VX","SFO","LAX","JFK","130","66","54","66"
"VX","SFO","LAS","JFK","5","97","79","97"
"VX","SFO","LAX","JFK","17","66","54","66"
"B6","SFO","BOS","JFK","177","-13","-7","-13"
"AA","SFO","MIA","JFK","39","-5","-10","-5"
"DL","SFO","ATL","JFK","156","-18","-1","-18"
"B6","SFO","FLL","JFK","306","55","48","55"
"DL","SFO","ATL","JFK","57","-9","3","-9"
"DL","SFO","ATL","JFK","6","24","23","24"
"AA","SFO","MIA","JFK","-5","68","31","68"
"B6","SFO","BOS","JFK","-3","20","31","20"
"DL","SFO","ATL","JFK","3","6","22","6"
"AA","SFO","ORD","JFK","25","38","-2","38"
"B6","SFO","FLL","JFK","87","27","33","27"
"AA","SFO","ORD","JFK","1","38","-2","38"
"VX","SFO","LAX","JFK","47","42","62","42"
"DL","SFO","ATL","JFK","12","16","14","16"
"VX","SFO","LAX","JFK","0","58","76","58"
"VX","SFO","LAX","JFK","73","105","71","105"
"VX","SFO","LAX","JFK","73","27","23","27"
"VX","SFO","LAX","JFK","73","105","71","105"
"VX","SFO","LAX","JFK","2","27","23","27"
"VX","SFO","LAX","JFK","2","105","71","105"
"B6","SFO","BOS","JFK","28","-8","-5","-8"
"AA","SFO","MIA","JFK","2","-9","2","-9"
"B6","SFO","FLL","JFK","193","24","33","24"
"DL","SFO","ATL","JFK","-5","-13","-2","-13"
"DL","SFO","ATL","JFK","1","-16","-1","-16"
"AA","SFO","ORD","JFK","-1","28","18","28"
"AA","SFO","MIA","JFK","7","73","57","73"
"DL","SFO","ATL","JFK","31","-15","3","-15"
"VX","SFO","LAX","JFK","-4","91","85","91"
"VX","SFO","LAX","JFK","1","91","85","91"
"AA","SFO","ORD","JFK","9","108","8","108"
"B6","SFO","FLL","JFK","169","105","75","105"
"VX","SFO","LAX","JFK","5","1","2","1"
"DL","SFO","DTW","JFK","9","176","128","176"
"B6","SFO","BOS","JFK","101","204","195","204"
"B6","SFO","BOS","JFK","101","260","265","260"
"DL","SFO","ATL","JFK","-2","129","59","129"
"AA","SFO","MIA","JFK","-4","61","50","61"
"VX","SFO","LAX","JFK","-2","57","45","57"
"VX","SFO","LAX","JFK","36","13","32","13"
"VX","SFO","LAX","JFK","2","13","32","13"
"VX","SFO","LAS","JFK","8","14","4","14"
"VX","SFO","LAX","JFK","-2","8","18","8"
"VX","SFO","LAX","JFK","-2","13","32","13"
"B6","SFO","BOS","JFK","37","-4","-4","-4"
"AA","SFO","MIA","JFK","12","-1","-5","-1"
"B6","SFO","FLL","JFK","14","3","-1","3"
"B6","SFO","FLL","JFK","14","-1","-5","-1"
"DL","SFO","ATL","JFK","-3","95","26","95"
"DL","SFO","ATL","JFK","3","101","114","101"
"AA","SFO","MIA","JFK","71","21","22","21"
"DL","SFO","DTW","JFK","10","-16","-4","-16"
"VX","SFO","LAX","JFK","18","-45","-3","-45"
"DL","SFO","ATL","JFK","-2","101","114","101"
"AA","SFO","ORD","JFK","6","153","177","153"
"AA","SFO","ORD","JFK","5","-17","0","-17"
"B6","SFO","FLL","JFK","50","-6","-1","-6"
"B6","SFO","FLL","JFK","50","-5","7","-5"
"B6","SFO","FLL","JFK","50","150","141","150"
"AA","SFO","ORD","JFK","9","-17","0","-17"
"DL","SFO","ATL","JFK","66","60","78","60"
"VX","SFO","LAX","JFK","11","-15","10","-15"
"VX","SFO","LAX","JFK","15","-8","6","-8"
"VX","SFO","LAX","JFK","61","-8","6","-8"
"B6","SFO","BOS","JFK","26","-5","-1","-5"
"AA","SFO","MIA","JFK","61","-15","-4","-15"
"B6","SFO","FLL","JFK","-2","-15","-2","-15"
"DL","SFO","ATL","JFK","82","-17","0","-17"
"AA","SFO","ORD","JFK","5","-20","0","-20"
"DL","SFO","ATL","JFK","9","-14","1","-14"
"DL","SFO","ATL","JFK","9","425","429","425"
"AA","SFO","MIA","JFK","5","-14","-7","-14"
"DL","SFO","DTW","JFK","-5","-4","0","-4"
"VX","SFO","LAX","JFK","3","-35","0","-35"
"DL","SFO","ATL","JFK","10","-14","3","-14"
"VX","SFO","LAX","JFK","-2","-35","0","-35"
"B6","SFO","BOS","JFK","-3","-7","6","-7"
"DL","SFO","ATL","JFK","15","-14","3","-14"
"AA","SFO","ORD","JFK","-3","-15","-2","-15"
"B6","SFO","FLL","JFK","-2","-17","-9","-17"
"AA","SFO","ORD","JFK","-3","-15","-2","-15"
"AA","SFO","MIA","JFK","-2","-28","-4","-28"
"VX","SFO","LAX","JFK","-1","-20","2","-20"
"VX","SFO","LAX","JFK","25","-33","-3","-33"
"VX","SFO","LAX","JFK","-1","-33","-3","-33"
"VX","SFO","LAS","JFK","-3","-36","-8","-36"
"VX","SFO","LAX","JFK","-5","-11","0","-11"
"VX","SFO","LAX","JFK","6","-11","0","-11"
"B6","SFO","BOS","JFK","4","6","9","6"
"AA","SFO","MIA","JFK","0","-17","-4","-17"
"B6","SFO","FLL","JFK","-3","-15","-6","-15"
"B6","SFO","FLL","JFK","-3","-4","0","-4"
"DL","SFO","ATL","JFK","-5","9","14","9"
"VX","SFO","LAX","JFK","-1","3","4","3"
"DL","SFO","ATL","JFK","36","-6","-1","-6"
"VX","SFO","LAX","JFK","0","3","4","3"
"B6","SFO","FLL","JFK","1","12","12","12"
"B6","SFO","FLL","JFK","1","21","22","21"
"VX","SFO","LAX","JFK","-4","7","1","7"
"DL","SFO","ATL","JFK","0","-9","8","-9"
"VX","SFO","LAX","JFK","0","20","1","20"
"VX","SFO","LAX","JFK","0","29","39","29"
"VX","SFO","LAS","JFK","10","-10","-5","-10"
"B6","SFO","LGB","JFK","-6","19","11","19"
"VX","SFO","LAX","JFK","36","8","8","8"
"B6","SFO","BOS","JFK","20","8","1","8"
"AA","SFO","MIA","JFK","-2","9","0","9"
"DL","SFO","ATL","JFK","5","10","4","10"
"AS","SFO","SEA","JFK","11","-45","6","-45"
"B6","SFO","LAS","JFK","33","19","3","19"
"AS","SFO","SEA","JFK","-8","-45","6","-45"
"AA","SFO","LAX","JFK","-7","-15","-5","-15"
"AA","SFO","LAX","JFK","-7","4","-6","4"
"DL","SFO","LAX","JFK","-2","-10","-4","-10"
"DL","SFO","LAX","JFK","-2","108","109","108"
"AA","SFO","LAX","JFK","-5","6","3","6"
"AA","SFO","LAX","JFK","-5","-15","-5","-15"
"DL","SFO","LAX","JFK","-5","-10","-4","-10"
"DL","SFO","LAX","JFK","-5","108","109","108"
"AA","SFO","CLT","JFK","-11","-16","-4","-16"
"DL","SFO","MSP","JFK","-6","-7","-3","-7"
"AA","SFO","CLT","JFK","-9","-16","-3","-16"
"AA","SFO","DFW","JFK","-8","15","0","15"
"AA","SFO","PHX","JFK","-7","9","-3","9"
"AA","SFO","LAX","JFK","-7","-13","-4","-13"
"DL","SFO","LAX","JFK","-2","12","3","12"
"DL","SFO","LAX","JFK","3","12","3","12"
"AA","SFO","PHX","JFK","-6","27","10","27"
"AA","SFO","LAX","JFK","14","-10","-3","-10"
"AA","SFO","LAX","JFK","14","23","22","23"
"AA","SFO","DFW","JFK","0","-15","-4","-15"
"DL","SFO","LAX","JFK","-3","4","-1","4"
"AA","SFO","CLT","JFK","-10","1","0","1"
"DL","SFO","LAX","JFK","-6","12","-4","12"
"AA","SFO","PHX","JFK","-1","-6","-6","-6"
"AA","SFO","LAX","JFK","34","60","73","60"
"B6","SFO","LAS","JFK","44","27","0","27"
"AS","SFO","SEA","JFK","30","-6","27","-6"
"AA","SFO","LAX","JFK","-3","-20","-9","-20"
"AA","SFO","LAX","JFK","-3","9","-2","9"
"DL","SFO","LAX","JFK","-3","-2","-3","-2"
"AA","SFO","LAX","JFK","-5","-2","-6","-2"
"AA","SFO","LAX","JFK","-5","-20","-9","-20"
"DL","SFO","LAX","JFK","-3","-2","-3","-2"
"AA","SFO","LAX","JFK","-8","-2","-6","-2"
"AA","SFO","CLT","JFK","-5","-21","-7","-21"
"AA","SFO","DFW","JFK","-7","-4","4","-4"
"AA","SFO","PHX","JFK","-4","-3","-4","-3"
"AA","SFO","LAX","JFK","44","-25","-7","-25"
"AA","SFO","LAX","JFK","44","23","34","23"
"B6","SFO","LAS","JFK","-5","-12","-3","-12"
"DL","SFO","LAX","JFK","0","32","40","32"
"DL","SFO","LAX","JFK","11","32","40","32"
"AA","SFO","PHX","JFK","-12","6","-1","6"
"AA","SFO","LAX","JFK","-1","-18","-8","-18"
"AA","SFO","LAX","JFK","-1","-10","-2","-10"
"AA","SFO","DFW","JFK","-2","-12","-4","-12"
"DL","SFO","LAX","JFK","23","-8","-9","-8"
"AA","SFO","CLT","JFK","2","-9","-6","-9"
"DL","SFO","LAX","JFK","8","4","-1","4"
"AA","SFO","PHX","JFK","-7","13","10","13"
"AA","SFO","CLT","JFK","-8","-9","-6","-9"
"AA","SFO","PHX","JFK","-7","-1","2","-1"
"AS","SFO","SEA","JFK","16","-26","5","-26"
"AA","SFO","LAX","JFK","30","-22","-3","-22"
"AA","SFO","LAX","JFK","30","4","-5","4"
"DL","SFO","LAX","JFK","25","16","27","16"
"AA","SFO","LAX","JFK","14","29","18","29"
"AA","SFO","CLT","JFK","0","-13","-4","-13"
"DL","SFO","MSP","JFK","-4","-28","-3","-28"
"AA","SFO","CLT","JFK","-8","6","8","6"
"AA","SFO","DFW","JFK","-7","-12","0","-12"
"AA","SFO","PHX","JFK","-5","-17","-3","-17"
"DL","SFO","LAX","JFK","2","-13","6","-13"
"DL","SFO","LAX","JFK","131","-24","5","-24"
"AA","SFO","PHX","JFK","-7","8","-2","8"
"AA","SFO","LAX","JFK","-4","-22","-7","-22"
"AA","SFO","LAX","JFK","-4","-7","3","-7"
"AA","SFO","DFW","JFK","-5","1","-3","1"
"AA","SFO","CLT","JFK","0","-5","-2","-5"
"DL","SFO","LAX","JFK","39","-24","5","-24"
"AA","SFO","PHX","JFK","-4","-29","-5","-29"
"AA","SFO","CLT","JFK","19","-5","-2","-5"
"AS","SFO","SEA","JFK","-9","-20","-2","-20"
"B6","SFO","LAS","JFK","45","-27","-2","-27"
"AA","SFO","LAX","JFK","25","35","40","35"
"AA","SFO","LAX","JFK","25","-15","4","-15"
"AA","SFO","LAX","JFK","2","22","-7","22"
"AA","SFO","LAX","JFK","2","35","40","35"
"DL","SFO","LAX","JFK","2","6","4","6"
"DL","SFO","LAX","JFK","2","-16","1","-16"
"AA","SFO","LAX","JFK","-3","22","-7","22"
"AA","SFO","LAX","JFK","-3","35","40","35"
"AA","SFO","CLT","JFK","0","11","1","11"
"DL","SFO","MSP","JFK","7","-15","-3","-15"
"AA","SFO","CLT","JFK","13","-2","1","-2"
"AA","SFO","DFW","JFK","-3","3","4","3"
"AA","SFO","PHX","JFK","-3","15","1","15"
"DL","SFO","MSP","JFK","178","-37","-9","-37"
"DL","SFO","LAX","JFK","221","-36","-4","-36"
"DL","SFO","LAX","JFK","17","6","39","6"
"AA","SFO","PHX","JFK","99","-19","-2","-19"
"AA","SFO","LAX","JFK","62","7","22","7"
"DL","SFO","LAX","JFK","2","-44","-8","-44"
"AA","SFO","CLT","JFK","-9","15","-1","15"
"DL","SFO","LAX","JFK","-5","-36","-4","-36"
"AA","SFO","PHX","JFK","2","-19","-2","-19"
"AA","SFO","CLT","JFK","-3","1","-2","1"
"AS","SFO","SEA","JFK","-12","-46","-1","-46"
"AA","SFO","PHX","JFK","-6","-30","-1","-30"
"B6","SFO","LAS","JFK","75","3","25","3"
"AS","SFO","SEA","JFK","-2","-46","-1","-46"
"AA","SFO","LAX","JFK","3","-15","-2","-15"
"AA","SFO","LAX","JFK","3","-17","-1","-17"
"DL","SFO","LAX","JFK","-4","-6","-2","-6"
"DL","SFO","LAX","JFK","-4","-27","0","-27"
"DL","SFO","LAX","JFK","17","0","19","0"
"DL","SFO","LAX","JFK","17","-6","-2","-6"
"AA","SFO","LAX","JFK","6","-15","-1","-15"
"DL","SFO","MSP","JFK","-9","-21","-3","-21"
"AA","SFO","CLT","JFK","-5","10","4","10"
"AA","SFO","DFW","JFK","-7","-19","4","-19"
"AA","SFO","PHX","JFK","2","-22","10","-22"
"AA","SFO","LAX","JFK","-5","-20","-3","-20"
"B6","SFO","LAS","JFK","-7","-24","-2","-24"
"DL","SFO","LAX","JFK","-2","-7","3","-7"
"AA","SFO","PHX","JFK","-8","-43","-3","-43"
"AA","SFO","LAX","JFK","5","-7","-4","-7"
"AA","SFO","LAX","JFK","5","-12","-2","-12"
"AA","SFO","DFW","JFK","-5","-8","4","-8"
"AA","SFO","PHX","JFK","-5","-22","-6","-22"
"AA","SFO","CLT","JFK","-7","1","0","1"
"B6","SFO","LAS","JFK","25","19","2","19"
"AS","SFO","SEA","JFK","-5","-30","10","-30"
"AA","SFO","LAX","JFK","-1","-21","-6","-21"
"AA","SFO","LAX","JFK","-1","4","-5","4"
"AA","SFO","LAX","JFK","-6","-15","-8","-15"
"AA","SFO","LAX","JFK","-6","-21","-6","-21"
"AA","SFO","LAX","JFK","17","-15","-8","-15"
"AA","SFO","DFW","JFK","-5","-1","5","-1"
"AA","SFO","PHX","JFK","118","-14","-5","-14"
"B6","SFO","LAS","JFK","-5","-17","-5","-17"
"DL","SFO","LAX","JFK","-3","5","17","5"
"HA","SFO","HNL","JFK","3","-13","-5","-13"
"AA","SFO","CLT","JFK","0","29","7","29"
"DL","SFO","LAX","JFK","13","-21","-3","-21"
"AA","SFO","PHX","JFK","-3","-16","-5","-16"
"DL","SFO","LAX","JFK","22","-21","-3","-21"
"AA","SFO","CLT","JFK","27","8","15","8"
"DL","SFO","LAX","JFK","78","10","36","10"
"AA","SFO","PHX","JFK","70","-15","-1","-15"
"DL","SFO","LAX","JFK","94","-6","14","-6"
"AS","SFO","SEA","JFK","11","-18","-3","-18"
"DL","SFO","LAX","JFK","22","-6","14","-6"
"AA","SFO","PHX","JFK","22","-15","-1","-15"
"B6","SFO","LAS","JFK","143","13","7","13"
"AS","SFO","SEA","JFK","-12","-18","-3","-18"
"AA","SFO","LAX","JFK","3","-26","0","-26"
"AA","SFO","LAX","JFK","3","-25","-5","-25"
"AA","SFO","LAX","JFK","68","-7","-5","-7"
"DL","SFO","LAX","JFK","91","-9","0","-9"
"AA","SFO","LAX","JFK","4","-7","-5","-7"
"AA","SFO","CLT","JFK","-1","13","14","13"
"DL","SFO","MSP","JFK","23","0","-4","0"
"AA","SFO","CLT","JFK","-5","5","0","5"
"AA","SFO","DFW","JFK","-3","1","14","1"
"AA","SFO","PHX","JFK","0","-20","4","-20"
"DL","SFO","MSP","JFK","-1","-18","0","-18"
